"experiment","description","EFOType","EFOValue"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","disease","hepatocellular carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","Compound treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","time","0"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","dose","0"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","cell line","HepG2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","time","24 hours / 4 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","dose","2.5 uM/500 nM"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","Compound treatment","5-aza-2'-deoxycytidine + trichostatin A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","dose","2.5 uM"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","time","4 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","Compound treatment","5-aza-2'-deoxycytidine"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","time","24 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","dose","500 nM"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5230>","Transcription profiling human hepatoma cells treated with 5-aza-dC, Trichostatin A, both, or control to elucidate the response to inhibition of DNA methylation and histone deacetylation","Compound treatment","trichostatin A"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","organism part","bronchus"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","individual","donor 1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","cell type","primary epithelial cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","14 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","4 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","0"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","10 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","individual","donor 3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","17 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","8 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","1 day"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","individual","donor 2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","28 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","2 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","21 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5264>","Transcription profiling of human airway epithelial cells sampled at multiple time points to examine mucociliary differentiation","time","12 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","injury","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","ethnicity","White"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","sampling time point","0 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","age","36 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","organism part","bronchus"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","NS2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","clinical history","smoking history: 0 pack years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","cell type","epithelial cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","Clinical info","non-smoker"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","ethnicity","black"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","S4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","Clinical info","smoker"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","clinical history","smoking history: 20 pack years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","age","41 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","age","40 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","S1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","sampling time point","7 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","clinical history","smoking history: 25 pack years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","injury","mechanical injury"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","clinical history","smoking history: 23 pack years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","age","46 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","S5"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","clinical history","smoking history: 21 pack years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","S2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","S3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","clinical history","smoking history: 30 pack years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","age","44 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","age","35 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","NS4"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","sampling time point","14 days"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","NS3"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5372>","Transcription profiling of human airway epithelium, large airways, pre and post-mechanical injury","individual","NS1"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","disease","normal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","organism part","vulva"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B131"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","disease","vulvar intraepithelial neoplasia"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B077"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B043"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B017"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B040"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B148"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B027"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B124"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B135"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B060"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B084"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B090"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B109"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B132"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B149"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B004"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","con_B130"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B116"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5563>","Transcription profiling of human vulvar epithelial neoplasia vs normal controls","individual","VIN_B105"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","Compound treatment","AM580"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","age","19 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","cell type","dendritic cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","Compound treatment","control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","age","41 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","Compound treatment","rosiglitazone"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","age","47 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5679>","Transcription profiling of human freshly isolated PPARg and RARa ligand treated dendritic cells","Compound treatment","rosiglitazone and AGN193109"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","disease","invasive lobular carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","developmental stage","postmenopausal"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","8ILC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","organism part","mammary gland"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","Clinical info","normal tissue from invasive lobular carcinoma patient"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","9ILC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","disease","invasive ductal carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","Clinical info","normal tissue from invasive ductal carcinoma patient"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","3IDC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","Clinical info","invasive lobular carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","5IDC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","10ILC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","7ILC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","1IDC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","2IDC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","Clinical info","invasive ductal carcinoma"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","6ILC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5764>","Transcription profilimg of human lobular and ductal invasive carcinomas vs normal breast tissue from the same patient to identify gene expression profiles of ductal and lobular carcinomas in relation to normal ductal and lobular cells","individual","4IDC"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5741>","Transcription profiling of human ARPE-19 cells treated with LDL or ox-LDL induces a physiological and pathological transcriptional response","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5741>","Transcription profiling of human ARPE-19 cells treated with LDL or ox-LDL induces a physiological and pathological transcriptional response","Compound treatment","low-density lipoprotein 200 micrograms per milliliter"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5741>","Transcription profiling of human ARPE-19 cells treated with LDL or ox-LDL induces a physiological and pathological transcriptional response","cell line","APRE-19 cells"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5741>","Transcription profiling of human ARPE-19 cells treated with LDL or ox-LDL induces a physiological and pathological transcriptional response","Compound treatment","oxidized low-density lipoprotein 200 micrograms per milliliter"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5741>","Transcription profiling of human ARPE-19 cells treated with LDL or ox-LDL induces a physiological and pathological transcriptional response","Compound treatment","none"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","sex","female"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","time","3 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","cell type","stromal cell"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","organism part","endometrium"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","growth condition","control conditioned medium from non-decidualized stromal cells"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","growth condition","trophoblast conditioned medium"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","time","12 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5809>","Transcription profiling of human endometrial stromal cells treated with human trophoblasts vs. control, sampled at multiple time points to investigate stromal cell response to paracrine signals from the trophoblast","time","0 hours"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","cell line","HeLa"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","disease","cervical cancer"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","RNAi","c-MYC knockdown"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","RNAi","control"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","disease","breast cancer"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","cell line","BT-474"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","cell line","MCF-7"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-5823>","RNAi profiling of human cancer cell lines depleted for  c-MYC depletion","cell line","MDA-MB-231"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","sex","male"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","organism","Homo sapiens"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","histology","invasive tumor"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","individual","T2"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","organism part","thyroid"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","disease","papillary thyroid cancer"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","age","71 years"
"<http://rdf.ebi.ac.uk/resource/atlas/E-GEOD-6004>","Transcription profiling of human intratumoral samples from central and invasive regions of seven widely invasive PTCs and normal thyroid tissue","histology","central tumor"
